2025-08-06 11:43:01 | WARNING | app.scraper.scraper:scrape_single_page:201 | ⚠️ Не найден список статей на странице 1
2025-08-06 11:43:01 | INFO | app.scraper.scraper:save_articles_to_db:328 | 📦 Обработан batch: сохранено 2 статей
2025-08-06 11:43:01 | INFO | app.scraper.scraper:save_articles_to_db:338 | ✅ Итого сохранено 2 новых статей в базу данных
2025-08-06 11:43:01 | INFO | app.scraper.scraper:save_articles_to_db:328 | 📦 Обработан batch: сохранено 0 статей
2025-08-06 11:43:01 | INFO | app.scraper.scraper:save_articles_to_db:338 | ✅ Итого сохранено 0 новых статей в базу данных
2025-08-06 11:43:01 | INFO | app.scraper.scraper:save_articles_to_db:286 | 📝 Нет статей для сохранения
2025-08-06 11:43:01 | WARNING | app.scraper.scraper:save_articles_to_db:298 | ⚠️ Пропущена статья с неполными данными: No URL
2025-08-06 11:43:01 | INFO | app.scraper.scraper:save_articles_to_db:328 | 📦 Обработан batch: сохранено 0 статей
2025-08-06 11:43:01 | INFO | app.scraper.scraper:save_articles_to_db:338 | ✅ Итого сохранено 0 новых статей в базу данных
2025-08-06 11:43:01 | INFO | app.scraper.scraper:run_scraping:347 | 🚀 Запуск скрапинга Financial Times...
2025-08-06 11:43:01 | INFO | app.scraper.scraper:run_scraping:357 | 🆕 Первый запуск - собираем статьи за последние 30 дней...
2025-08-06 11:43:01 | INFO | app.scraper.scraper:run_scraping:375 | 🎉 Скрапинг завершен! Обработано: 1, сохранено: 1
2025-08-06 11:43:01 | INFO | app.scraper.scraper:run_scraping:347 | 🚀 Запуск скрапинга Financial Times...
2025-08-06 11:43:01 | INFO | app.scraper.scraper:run_scraping:365 | ⏰ Обычный запуск - собираем статьи за последний час...
2025-08-06 11:43:01 | WARNING | app.scraper.scraper:run_scraping:377 | ⚠️ Не удалось получить данные статей
2025-08-06 11:43:01 | INFO | app.scraper.scraper:run_scraping:347 | 🚀 Запуск скрапинга Financial Times...
2025-08-06 11:43:01 | ERROR | app.scraper.scraper:run_scraping:380 | ❌ Критическая ошибка скрапинга: Browser init failed
2025-08-06 11:43:01 | INFO | app.scraper.scraper:scrape_articles_with_pagination:236 | 📚 Начинаем скрапинг с пагинацией (макс. 5 страниц)...
2025-08-06 11:43:01 | WARNING | app.scraper.scraper:scrape_articles_with_pagination:247 | ⚠️ Страница 3 не содержит подходящих статей
2025-08-06 11:43:01 | WARNING | app.scraper.scraper:scrape_articles_with_pagination:247 | ⚠️ Страница 4 не содержит подходящих статей
2025-08-06 11:43:01 | WARNING | app.scraper.scraper:scrape_articles_with_pagination:247 | ⚠️ Страница 5 не содержит подходящих статей
2025-08-06 11:43:01 | INFO | app.scraper.scraper:scrape_articles_with_pagination:251 | 🛑 Найдено 3 страницы подряд без статей, прекращаем скрапинг
